Board Vector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Move Predictions,-,-,-,-,-,-,Position Rating,Game Result,Game Length,Game Index
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394333,0.0181233,0.0544,0.841873,0.0570767,0.01716,0.00742333,0.12775,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.13652,0.184017,0.19758,0.01805,0.12427,0.160007,0.179557,-0.124652,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0.00734667,0.00438333,0.20334,0.74032,0.0137833,0.01475,0.0160767,0.32594,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0.1375,0.360103,0.00988667,0.00521,0.204387,0.0899633,0.19295,-0.293686,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0.00378333,0.00699333,0.0382867,0.925797,0.00777,0.01346,0.00391,0.573415,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,1,0,0,1,0.0820567,0.0913967,0.04421,0.01328,0.329597,0.245023,0.194437,-0.165667,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,0,1,0.00267,0.00484333,0.0156033,0.95868,0.00681333,0.00729667,0.00409333,0.643903,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,0,0,1,0.0158733,0.0383667,0.00671667,0.00604667,0.0738167,0.854637,0.00454333,0.189433,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,0,-1,1,0.00612,0.375847,0.441677,0.163127,0.00259667,0.00743333,0.0032,0.705749,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,0,-1,1,0.0265233,0.655457,0.0704933,0.05308,0.00250667,0.0765,0.11544,0.281172,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,1,0,0,-1,0,-1,-1,1,0,-1,1,0.00137333,0.0173367,0.0100567,0.96553,0.00139333,0.0032,0.00111,0.827061,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,1,0,0,-1,0,-1,-1,1,0,-1,1,1.66667e-005,1.66667e-005,1.66667e-005,0.999907,1.66667e-005,1.33333e-005,1.33333e-005,0.917397,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,-1,1,1,0,0,-1,0,-1,-1,1,0,-1,1,0.00174333,0.969917,0.00884,0.00287,0.00173,0.0131433,0.00175667,0.833967,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,0,0,0,0,-1,1,1,0,0,-1,0,-1,-1,1,0,-1,1,0.0977533,0.450087,0.05086,0.190477,0.0350767,0.0562633,0.119483,0.864211,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,1,1,0,0,0,0,-1,1,1,0,0,-1,0,-1,-1,1,0,-1,1,0.00528667,0.00340667,0.0213,0.00335333,0.00353,0.95459,0.00853333,0.889482,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,1,1,0,0,0,0,-1,1,1,0,1,-1,0,-1,-1,1,0,-1,1,0.0127233,0.18286,0.22482,0.257257,1.66667e-005,0.275457,0.0468667,0.78687,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,1,1,0,-1,0,0,-1,1,1,0,1,-1,0,-1,-1,1,0,-1,1,0.00378,0.00271333,0.0156633,0.00358,0.962137,0.00497667,0.00715,0.97724,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,1,1,0,-1,0,0,-1,1,1,0,1,-1,0,-1,-1,1,1,-1,1,0.999913,6.66667e-006,2e-005,3.33333e-006,2e-005,2e-005,1.66667e-005,1,1,21,0
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,1,1,1,0,-1,0,0,-1,1,1,0,1,-1,0,-1,-1,1,1,-1,1,0.00275667,0.00271333,0.00723,0.00532,0.973737,0.00377,0.00447333,1,1,21,0
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,-1,0,0,0,0,1,1,1,0,-1,0,0,-1,1,1,0,1,-1,0,-1,-1,1,1,-1,1,6.66667e-006,1.33333e-005,0.999953,3.33333e-006,1e-005,1e-005,3.33333e-006,1,1,21,0
0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,1,-1,0,0,0,0,1,1,1,0,-1,0,0,-1,1,1,0,1,-1,0,-1,-1,1,1,-1,1,0.00166333,0.00120333,0.00255333,0.00321333,0.98756,0.00142333,0.00238333,1,1,21,0
